,Execution time,Biclusters found,ASR,MSR,SMSR,VE,VEt
CCA,0.49081650003790855,10,0.9265824428296098,260.2025632484582,0.025195180444288628,0.5855404464571679,0.8496822668653092
BiBit,49.888696899986826,14804,0.851253748552862,487.1285167944751,0.00432148417432657,0.8428595055201061,0.8482285053638658
LAS,26.40293099998962,2,0.7987883161363123,694.4196566977678,0.00627061227514423,0.7825321494330397,0.7979960184978094
Spectral,2.48446360003436,4,0.9127184217843499,882.2083088709801,0.16584641816503054,1.0,1.0
