,time,avg,median,std,min,max
CCA,0.026625200000125915,0.5855404464571679,0.5538840973828197,0.2797491645166585,0.27284433952407144,1.0
BiBit,0.02740540000377223,0.8428595055201061,0.8237197810779644,0.05615873869482954,0.7967724137432637,1.0
LAS,0.0031125000095926225,0.7825321494330397,0.7825321494330397,0.00036381542503005626,0.7821683340080097,0.7828959648580698
Spectral,0.008982600003946573,1.0,1.0,0.0,1.0,1.0
