,time,avg,median,std,min,max
CCA,0.36283729999559,0.9265824428296098,0.9433857090088862,0.03972920302728027,0.8240931212016083,0.9638011757121989
BiBit,1.0712198000401258,0.851253748552862,0.8539090256399977,0.025628897154756084,0.7889024641413597,0.8846805855837675
LAS,0.16589480004040524,0.7987883161363123,0.7987883161363123,0.001542416456035256,0.797245899680277,0.8003307325923475
Spectral,1.420167499978561,0.9127184217843499,0.9209861269870987,0.0349382071433568,0.8564596482353295,0.9524417849278728
