,time,avg,median,std,min,max
CCA,0.021367899957112968,0.025195180444288628,0.010948286996320328,0.028169538570230915,0.0025924350170530137,0.07926945537416202
BiBit,0.012753899965900928,0.00432148417432657,0.004277339628361671,0.0006516203200761011,0.003261891942985735,0.005319229185987564
LAS,0.0030784999835304916,0.00627061227514423,0.00627061227514423,0.000651414617296672,0.005619197657847558,0.006922026892440902
Spectral,0.008287799952086061,0.16584641816503054,0.12420787948137742,0.09136659590449185,0.09371475200280256,0.32125516169456486
