,time,avg,median,std,min,max
CCA,0.03200700000161305,260.2025632484582,149.14582700845045,166.40791727482176,129.48519800076892,591.4033262023488
BiBit,0.01026750000892207,487.1285167944751,482.1585414183729,80.28733916682636,360.2224799190011,612.3667241654315
LAS,0.003418200009036809,694.4196566977678,694.4196566977678,7.296852488169691,687.1228042095981,701.7165091859375
Spectral,0.006590900011360645,882.2083088709801,876.770873657428,121.2795228098381,750.2487742569263,1025.0427139121382
